Day,Time,Heure locale,Temperature,Temps,Pluie,Vent,Humidite,Bio-meteo,Pt. de rosee,Pression,Visibilite,Temperature_Mean,Temperature_Min,Temperature_Max
2025-02-14 01:00:00,01:00, 01h ,9.7 °C 9.1 → 9.7 ,,0 mm/1h,11 km/h raf.16.2 ,85%,8,7.3 °C,1020.3hPa,18 km,9.7,9.1,9.7
2025-02-14 00:00:00,00:00, 00h ,9.2 °C 9.1 → 9.3 ,,0 mm/1h,7 km/h raf.12.6 ,86%,8.2,7 °C,1020.4hPa,13 km,9.2,9.1,9.3
2025-02-13 23:00:00,23:00, 23h ,9.0 °C 9 → 9.3 ,,0 mm/1h,7 km/h raf.10.8 ,87%,7.9,7 °C,1020.6hPa,9 km,9.0,9.0,9.3
2025-02-13 22:00:00,22:00, 22h ,9.3 °C 9.2 → 9.5 ,,0 mm/1h,4 km/h raf.7.2 ,86%,9.3,7.1 °C,1020.3hPa,9 km,9.3,9.2,9.5
2025-02-13 21:00:00,21:00, 21h ,9.4 °C 9.4 → 10.4 ,,0 mm/1h,4 km/h raf.5.8 ,83%,9.4,6.7 °C,1020.3hPa,17 km,9.4,9.4,10.4
2025-02-13 20:00:00,20:00, 20h ,10.4 °C 10.1 → 10.7 ,,0 mm/1h,4 km/h raf.7.6 ,79%,,6.9 °C,1020.4hPa,28 km,10.4,10.1,10.7
2025-02-13 19:00:00,19:00, 19h ,10.6 °C 10.6 → 11.6 ,,0 mm/1h,4 km/h raf.9 ,77%,,6.7 °C,1019.8hPa,35 km,10.6,10.6,11.6
2025-02-13 18:00:00,18:00, 18h ,11.7 °C 11.7 → 12.2 ,,0 mm/1h,7 km/h raf.12.2 ,69%,50 ,6.2 °C,1019.7hPa,60 km,11.7,11.7,12.2
2025-02-13 17:00:00,17:00, 17h ,12.2 °C 12.1 → 13.3 ,,0 mm/1h,7 km/h raf.20.2 ,69%,133 ,6.7 °C,1019.7hPa,60 km,12.2,12.1,13.3
2025-02-13 16:00:00,16:00, 16h ,13.0 °C 12.2 → 13.2 ,,0 mm/1h,11 km/h raf.18.4 ,65%,267 ,6.6 °C,1019.6hPa,50 km,13.0,12.2,13.2
2025-02-13 15:00:00,15:00, 15h ,12.3 °C 11.7 → 12.4 ,,0 mm/1h,14 km/h raf.20.5 ,73%,183 ,7.6 °C,1019.6hPa,45 km,12.3,11.7,12.4
2025-02-13 14:00:00,14:00, 14h ,11.7 °C 11.6 → 12.7 ,,0 mm/1h,11 km/h raf.16.2 ,75%,303 ,7.4 °C,1020.3hPa,17 km,11.7,11.6,12.7
2025-02-13 13:00:00,13:00, 13h ,11.7 °C 10.9 → 11.7 ,,0 mm/1h,11 km/h raf.20.5 ,76%,239 ,7.6 °C,1020.8hPa,50 km,11.7,10.9,11.7
2025-02-13 12:00:00,12:00, 12h ,10.9 °C 10.2 → 10.9 ,,0 mm/1h,7 km/h raf.16.6 ,79%,181 ,7.4 °C,1021.6hPa,18 km,10.9,10.2,10.9
2025-02-13 11:00:00,11:00, 11h ,10.2 °C 9.6 → 10.2 ,,0 mm/1h,7 km/h raf.20.5 ,88%,92 ,8.3 °C,1021.6hPa,50 km,10.2,9.6,10.2
2025-02-13 10:00:00,10:00, 10h ,9.7 °C 9.3 → 9.7 ,,0 mm/1h,11 km/h raf.16.6 ,88%,886 ,7.8 °C,1021.6hPa,40 km,9.7,9.3,9.7
2025-02-13 09:00:00,09:00, 09h ,9.4 °C 9.2 → 9.4 ,,0 mm/1h,7 km/h raf.17.3 ,92%,8.4,8.2 °C,1021.3hPa,27 km,9.4,9.2,9.4
2025-02-13 08:00:00,08:00, 08h ,9.3 °C 9.2 → 9.3 ,,0 mm/1h,7 km/h raf.13 ,92%,8.3,8.1 °C,1021.2hPa,24 km,9.3,9.2,9.3
2025-02-13 07:00:00,07:00, 07h ,9.3 °C 9.2 → 9.5 ,,0 mm/1h,7 km/h raf.16.2 ,91%,8.3,7.9 °C,1021.0hPa,22 km,9.3,9.2,9.5
2025-02-13 06:00:00,06:00, 06h ,9.4 °C 9.4 → 9.6 ,,0 mm/1h,11 km/h raf.20.9 ,92%,7.7,8.2 °C,1020.8hPa,26 km,9.4,9.4,9.6
2025-02-13 05:00:00,05:00, 05h ,9.5 °C 8.9 → 9.5 ,,0 mm/1h,14 km/h raf.22.3 ,92%,7.3,8.3 °C,1020.6hPa,35 km,9.5,8.9,9.5
2025-02-13 04:00:00,04:00, 04h ,9.1 °C 9.1 → 9.8 ,,0 mm/1h,11 km/h raf.19.1 ,93%,7.3,8 °C,1020.5hPa,30 km,9.1,9.1,9.8
2025-02-13 03:00:00,03:00, 03h ,9.8 °C 9.8 → 9.9 ,,0 mm/1h,14 km/h raf.24.5 ,93%,7.6,8.7 °C,1020.9hPa,29 km,9.8,9.8,9.9
2025-02-13 02:00:00,02:00, 02h ,9.9 °C 9.9 → 10 ,,0 mm/1h,14 km/h raf.18.7 ,93%,7.8,8.8 °C,1020.7hPa,40 km,9.9,9.9,10.0
